Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Bolton,Frances,Payne,,,03/29/1885,03/09/1977,M,U.S. Representative,Republican,OH,22,01/03/1945,01/03/1969,Presbyterian,White,High School graduate,Education,Medicine,Public service/politics,,,Did not serve,,
Bonner,Herbert,Covington,,,05/16/1891,11/07/1965,M,U.S. Representative,Democrat,NC,1,01/03/1945,11/07/1965,Episcopalian,White,Bachelor's degree,Agriculture,Business or banking,Congressional Aide,,,Army,,
Boykin,Frank,William,,,02/21/1885,03/12/1969,M,U.S. Representative,Democrat,AL,1,01/03/1945,01/03/1963,Methodist,White,High School graduate,Agriculture,Misc.,Real Estate,,,Did not serve,,
Bradley,Fredrich,Van Ness,,,04/12/1898,05/24/1947,M,U.S. Representative,Republican,MI,11,01/03/1945,05/24/1947,Not specified,White,Bachelor's degree,Business or banking,,,,,,,
Bradley,Willis,Winter,,,06/28/1884,08/27/1954,M,U.S. Representative,Republican,CA,18,01/03/1947,01/03/1949,Not specified,White,Bachelor's degree,Military,,,,,Navy,,
Bramblett,Ernest,King,,,04/25/1901,12/27/1966,M,U.S. Representative,Republican,CA,11,01/03/1947,01/03/1953,Not specified,White,Doctorate degree,Business or banking,Education,,,,Did not serve,,
Brehm,Walter,Ellsworth,,,05/25/1892,08/24/1971,M,U.S. Representative,Republican,OH,11,01/03/1945,01/03/1953,Not specified,White,Professional degree,Medicine,,,,,Army,,
Brewster,Ralph,Owen,,,02/22/1888,12/25/1961,M,U.S. Senator,Republican,ME,,01/03/1945,01/03/1953,Not specified,White,Professional degree,Law,,,,,Army,,
Bricker,John,William,,,09/06/1893,03/22/1986,M,U.S. Senator,Republican,OH,,01/03/1947,01/03/1959,Not specified,White,Professional degree,Law,,,,,Army,,
Bridges,Henry,Styles,,,09/09/1898,11/26/1961,M,U.S. Senator,Republican,NH,,01/06/1943,11/26/1961,Congregationalist,White,Bachelor's degree,Business or banking,Education,Misc.,,,Army Reserve,,
Brooks,Charles,Wayland,,,03/08/1897,01/14/1957,M,U.S. Senator,Republican,IL,,11/22/1940,01/03/1949,Not specified,White,Professional degree,Agriculture,Law,,,,Marine Corps,,
Brooks,Overton,,,,12/21/1897,09/16/1961,M,U.S. Representative,Democrat,LA,4,01/03/1945,09/16/1961,Episcopalian,White,Professional degree,Law,,,,,Army,,
Brophy,John,Charles,,,10/08/1901,12/26/1976,M,U.S. Representative,Republican,WI,4,01/03/1947,01/03/1949,Not specified,White,High School graduate,Misc.,Public service/politics,,,,Navy,,
Broughton,J.,Melville,,,11/17/1888,03/06/1949,M,U.S. Senator,Democrat,NC,,12/31/1948,03/06/1949,Not specified,White,Professional degree,Law,,,,,,,
